Substance,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ILLICIT DRUGS,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Marijuana,"1,373","1,219","1,252","1,139","1,194","1,168","1,248","1,343","1,274","1,375","1,255","1,200","1,203","1,169","1,197","1,204","1,339","1,351","1,029"
Cocaine,310,282,274,286,260,254,196,145,156,146,120,94,117,112,107,98,74,59,82
Crack,86,76,42,32,41,52,17,18,14,19,18,10,11,*,6,9,4,11,2
Heroin,39,25,31,18,24,16,29,19,23,38,21,21,13,11,8,9,7,*,*
Hallucinogens,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,340,319,344,234,281,251
LSD,180,96,99,105,76,97,147,106,100,123,125,122,165,206,160,188,142,205,167
PCP,77,59,43,55,43,38,37,26,22,29,45,19,17,34,12,13,5,16,*
Ecstasy,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,168,143,146,105,116,78
Inhalants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,349,262,289,308,381,360
Methamphetamine,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,24,16,27,31,25,6
Misuse of Prescription Psychotherapeutics1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Pain Relievers1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,415,423,316,310,245,158
Stimulants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,276,244,217,181,238,116
Tranquilizers or Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Tranquilizers,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,210,228,223,215,185,103
Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,46,55,34,36,23,18
Benzodiazepines,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Opioids,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Illicit Drugs Other Than Marijuana2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
CIGARETTES,"1,187","1,226","1,294","1,303","1,333","1,198","1,288","1,273","1,205","1,165","1,032",932,838,823,723,604,571,541,385
Daily Cigarette Use,403,439,417,334,386,333,277,313,286,268,197,209,165,119,105,86,63,74,42
SMOKELESS TOBACCO,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,460,353,397,307,337,167
CIGARS,"1,113","1,163","1,246","1,270","1,217","1,145","1,120","1,085",940,969,849,730,797,671,575,599,493,442,373
ALCOHOL,"2,588","2,593","2,743","2,749","2,706","2,698","2,568","2,662","2,476","2,622","2,448","2,417","2,335","2,358","2,293","2,332","2,380","2,259","1,817"
