Substance,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ILLICIT DRUGS,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Marijuana,90,88,176,252,126,134,159,49,247,182,177,210,271,383,372,525,525,887,664
Cocaine,127,128,133,87,147,112,102,81,114,56,76,75,148,193,213,210,184,135,66
Crack,151,83,53,55,70,212,101,15,30,17,17,23,44,*,34,52,61,63,23
Heroin,12,25,40,33,9,20,28,85,37,40,40,82,124,68,80,26,75,31,91
Hallucinogens,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,150,134,167,250,259,376
LSD,16,*,24,24,28,*,18,*,20,13,33,48,50,71,117,120,169,219,171
PCP,*,*,14,*,*,*,*,*,*,*,17,*,*,*,22,*,*,*,*
Ecstasy,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,141,154,134,157,180,245
Inhalants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,62,80,75,58,99,117
Methamphetamine,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,110,97,73,106,96,97
Misuse of Prescription Psychotherapeutics1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Pain Relievers1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,"1,114","1,130","1,229","1,134",958,774
Stimulants,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,384,513,394,302,299,324
Tranquilizers or Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Tranquilizers,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,738,530,749,560,435,557
Sedatives,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,293,164,186,143,176,249
Benzodiazepines,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Opioids,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
Illicit Drugs Other Than Marijuana2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nr,nr,nr,nr,nr,nr
CIGARETTES,111,98,63,131,83,45,89,124,78,73,101,108,144,84,81,142,113,90,127
Daily Cigarette Use,166,150,118,137,109,84,119,204,77,85,92,99,113,100,152,130,80,180,168
SMOKELESS TOBACCO,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,358,352,218,197,280,110
CIGARS,714,518,614,747,570,555,521,644,622,593,524,706,489,617,558,622,535,518,450
ALCOHOL,124,60,169,105,60,112,193,124,191,106,196,85,95,200,156,143,63,205,176
